Station	Long	Lat	Dur_E	Dur_N	Dur_U	GOM25_Vel_E	GOM25_Vel_N	GOM25_Vel_U	IGS20_Vel_E	IGS20_Vel_N	IGS20_Vel_U	Diff_Vel_E	Diff_Vel_N	Diff_Vel_U
SCCE	-81.681	35.102	11.340	11.340	11.340	0.100	-0.100	-0.500	-13.600	2.600	-1.400	13.700	-2.700	0.900
SCDN	-79.359	34.411	12.900	10.100	12.900	-0.000	-0.100	-0.700	-13.400	3.400	-1.700	13.400	-3.500	1.000
SCDR	-80.560	33.180	10.790	11.340	4.120	0.300	-0.600	-0.900	-12.900	2.400	-2.200	13.200	-3.000	1.300
SCGP	-82.233	34.938	16.110	20.380	20.380	-0.200	0.500	-0.900	-13.900	2.600	-1.800	13.700	-2.100	0.900
SCHN	-81.094	32.860	7.130	11.340	11.340	-0.200	-0.100	-0.900	-13.200	2.700	-1.900	13.000	-2.800	1.000
SCLE	-80.238	34.211	12.900	8.070	12.900	0.200	-0.500	-0.500	-13.200	2.600	-1.400	13.400	-3.100	0.900
SCLS	-82.030	34.489	12.900	12.890	7.990	-0.400	-0.000	-0.500	-13.900	2.500	-1.400	13.500	-2.500	0.900
SCOE	-83.038	34.672	8.220	8.150	12.900	-0.400	-0.700	0.000	-13.500	1.500	-0.900	13.100	-2.200	0.900
SCUN	-81.649	34.766	16.710	16.710	16.710	-0.200	-0.500	-0.600	-13.800	2.200	-1.600	13.600	-2.700	1.000
SCWR	-81.199	34.983	12.750	12.750	12.750	-0.200	0.200	-0.500	-13.900	3.000	-1.500	13.700	-2.800	1.000
TALH	-84.356	30.397	23.190	17.580	11.580	0.000	0.100	0.300	-12.500	1.700	-0.500	12.500	-1.600	0.800
TAM1	-97.864	22.278	16.340	11.420	11.390	0.800	0.300	-0.100	-9.400	-3.000	-0.500	10.200	3.300	0.400
TN21	-85.207	35.064	16.740	16.740	9.290	0.100	0.300	-0.300	-13.700	1.700	-1.100	13.800	-1.400	0.800
TXAA	-94.153	33.114	11.040	16.970	16.970	-0.200	-0.000	0.400	-13.600	-1.800	-0.200	13.400	1.800	0.600
TXAB	-99.757	32.503	20.500	20.500	20.500	0.500	-0.000	0.600	-12.600	-3.800	0.100	13.100	3.800	0.500
TXAH	-95.817	32.226	7.930	14.060	6.720	-0.100	-0.400	-0.600	-13.200	-2.800	-1.200	13.100	2.400	0.600
TXBN	-96.175	33.607	16.180	16.180	16.180	-0.500	-0.200	-0.900	-14.000	-2.700	-1.500	13.500	2.500	0.600
TXBU	-98.184	30.750	21.230	21.230	12.090	0.100	0.100	0.100	-12.500	-3.200	-0.500	12.600	3.300	0.600
TXC1	-94.160	31.814	13.820	13.820	13.820	-0.100	0.000	-0.500	-13.100	-1.800	-1.100	13.000	1.800	0.600
TXC3	-99.422	31.810	9.490	11.890	11.890	0.100	0.100	0.200	-12.800	-3.600	-0.300	12.900	3.700	0.500
TXC4	-98.597	31.910	10.860	10.860	10.860	-0.100	-0.300	0.100	-13.100	-3.700	-0.400	13.000	3.400	0.500
TXCR	-95.072	33.611	16.180	16.180	16.180	-0.500	0.100	-0.200	-14.000	-2.100	-0.900	13.500	2.200	0.700
TXDC	-97.609	33.236	19.850	19.850	17.670	0.200	-0.100	-0.600	-13.200	-3.100	-1.200	13.400	3.000	0.600
TXDI	-94.726	33.050	7.810	15.300	15.300	0.100	0.100	-0.800	-13.300	-2.000	-1.400	13.400	2.100	0.600
TXEM	-95.784	32.889	15.300	15.290	15.300	-0.000	-0.300	0.100	-13.300	-2.700	-0.500	13.300	2.400	0.600
TXEN	-99.860	31.217	14.710	14.710	14.710	0.000	0.100	0.000	-12.700	-3.800	-0.500	12.700	3.900	0.500
TXFR	-98.847	30.246	20.010	20.010	20.010	0.100	0.100	0.200	-12.400	-3.400	-0.300	12.500	3.500	0.500
TXGB	-96.515	31.516	4.360	5.050	5.050	0.200	0.000	0.400	-12.700	-2.700	-0.200	12.900	2.700	0.600
TXGE	-96.056	33.132	15.060	15.940	15.940	0.200	-0.200	-0.000	-13.100	-2.700	-0.600	13.300	2.500	0.600
TXGL	-98.568	31.472	11.960	11.960	11.960	0.100	0.100	-0.800	-12.800	-3.300	-1.300	12.900	3.400	0.500
TXHC	-96.707	32.644	7.260	7.260	7.260	-0.100	-0.200	0.900	-13.300	-3.000	-0.500	13.200	2.800	1.400
TXHD	-94.811	32.120	11.840	12.920	12.920	0.200	-0.100	-0.800	-12.900	-2.100	-1.400	13.100	2.000	0.600
TXHO	-99.134	29.344	15.900	15.900	15.900	0.000	0.500	-0.100	-12.200	-3.100	-0.600	12.200	3.600	0.500
TXJN	-99.777	30.500	14.060	14.060	14.060	0.000	-0.000	-0.400	-12.500	-3.900	-0.500	12.500	3.900	0.100
TXJY	-98.402	30.282	13.470	13.470	13.470	0.200	0.100	0.000	-12.300	-3.200	-0.500	12.500	3.300	0.500
TXKL	-97.732	31.121	11.070	11.070	11.070	0.100	0.000	0.000	-12.700	-3.100	-0.500	12.800	3.100	0.500
TXKR	-99.121	30.065	17.800	17.800	17.800	-0.000	0.200	0.400	-12.400	-3.400	-0.000	12.400	3.600	0.400
TXLE	-99.761	29.739	14.710	14.710	14.710	-0.100	0.200	-0.200	-12.400	-3.700	-0.800	12.300	3.900	0.600
TXLL	-98.679	30.734	20.010	20.010	11.620	0.300	0.300	-0.100	-12.400	-3.200	-0.600	12.700	3.500	0.500
TXLP	-99.850	28.942	15.220	15.220	11.620	-0.500	-0.200	0.300	-12.600	-4.100	-0.100	12.100	3.900	0.400
TXLR	-99.448	27.514	23.510	23.510	11.910	-0.100	-0.100	0.900	-11.800	-3.800	-0.600	11.700	3.700	1.500
TXMA	-94.289	32.535	20.010	20.010	20.010	0.300	0.800	0.200	-12.900	-1.100	-0.400	13.200	1.900	0.600
TXMI	-95.477	32.689	16.970	16.970	16.970	0.100	-0.100	-0.400	-13.100	-2.400	-1.000	13.200	2.300	0.600
TXNA	-96.539	32.042	17.660	21.760	17.670	-0.000	0.200	0.300	-13.100	-2.500	-1.100	13.100	2.700	1.400
TXNO	-97.726	33.776	14.700	14.380	17.610	0.400	-0.100	-0.000	-13.100	-3.200	-0.600	13.500	3.100	0.600
TXRD	-96.715	32.956	6.130	6.130	6.130	-0.100	0.000	-0.100	-13.400	-2.700	-0.700	13.300	2.700	0.600
TXRL	-100.469	31.900	14.710	14.710	11.620	-0.200	0.600	0.300	-13.100	-3.500	-0.200	12.900	4.100	0.500
TXSA	-100.473	31.414	19.590	21.980	11.640	0.300	0.100	0.900	-12.400	-3.900	-0.900	12.700	4.000	1.800
TXSB	-98.746	31.198	11.320	11.310	11.320	0.200	-0.300	-0.300	-12.600	-3.700	-0.800	12.800	3.400	0.500
TXSG	-97.344	32.856	19.850	14.570	17.660	0.200	-0.400	-0.700	-13.100	-3.300	-1.300	13.300	2.900	0.600
TXST	-98.182	32.233	17.680	19.850	17.650	0.000	0.000	0.100	-13.000	-3.200	-0.500	13.000	3.200	0.600
TXSY	-99.258	33.602	16.970	9.910	16.960	0.500	-0.200	0.700	-12.900	-4.000	-0.300	13.400	3.800	1.000
TXTH	-99.168	33.179	17.610	17.610	17.610	0.200	-0.200	0.600	-13.100	-3.800	0.000	13.300	3.600	0.600
TXUV	-99.827	29.201	17.800	17.800	17.800	-0.200	0.200	0.500	-12.400	-3.700	0.000	12.200	3.900	0.500
TXVE	-99.283	34.133	17.610	17.550	17.610	0.200	-0.200	0.600	-13.400	-3.900	0.100	13.600	3.700	0.500
TXWF	-98.506	33.854	12.560	21.940	21.770	0.400	-0.100	0.300	-13.100	-3.400	-0.200	13.500	3.300	0.500
TXWX	-96.838	32.427	11.070	11.070	11.070	-0.200	-0.500	-0.900	-13.300	-3.200	-1.400	13.100	2.700	0.500
TXZA	-99.280	26.916	10.650	10.660	10.660	0.400	-0.000	0.400	-11.100	-3.700	0.000	11.500	3.700	0.400
WACH	-81.882	27.514	20.300	12.120	12.150	0.100	-0.100	-0.100	-11.500	2.300	-1.000	11.600	-2.400	0.900
WMOK	-98.781	34.738	19.740	19.750	19.750	0.300	-0.000	0.100	-13.400	-3.500	-0.400	13.700	3.500	0.500
XCTY	-83.108	29.631	11.670	21.470	11.640	0.000	0.000	0.600	-12.200	2.000	-0.300	12.200	-2.000	0.900
ZEFR	-82.165	28.228	10.310	11.590	11.540	-0.000	-0.300	0.400	-11.900	2.100	-0.400	11.900	-2.400	0.800
ZJX1	-81.908	30.699	18.200	18.280	21.330	-0.000	-0.100	-0.100	-12.500	2.400	-0.900	12.500	-2.500	0.800
ZMA1	-80.319	25.825	17.990	18.030	21.350	0.200	-0.100	-0.100	-10.900	2.900	-0.900	11.100	-3.000	0.800
RMS	89.821	32.058	14.131	14.507	13.259	0.265	0.301	0.480	12.962	2.477	0.887	12.963	2.484	0.786
Mean	-89.548	31.953	13.328	13.680	12.529	0.006	-0.054	0.010	-12.935	-0.267	-0.732	12.941	0.213	0.742
Std_Dev	7.008	2.604	4.694	4.829	4.339	0.265	0.297	0.480	0.847	2.463	0.501	0.754	2.475	0.259
